"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"19070","Standard Fire Insurance Company","0.014502438","1","1","6","8","68.9539255","67","2022"
"43478","Utica National Insurance Company of Texas","0.014993681","1","3","5","9","66.694762","68","2022"
"13026","Main Street America Protection Insurance Company","0.016167106","1","4","4","9","61.8539885","69","2022"
"32786","Progressive Specialty Insurance Company","0.01840949","5","25","44","74","271.5990535","70","2022"
"22063","Government Employees Insurance Company","0.018752822","14","45","82","141","746.5542945","71","2022"
"25178","State Farm Mutual Automobile Insurance Company","0.019932091","38","105","302","445","1906.473324","72","2022"
"17230","Allstate Property and Casualty Insurance Company","0.020989511","3","6","19","28","142.9285295","73","2022"
"12583","Adirondack Insurance Exchange","0.021599882","2","7","9","18","92.5930975","74","2022"
"23760","Nationwide General Insurance Company","0.022390993","3","15","24","42","133.9824435","75","2022"
"29688","Allstate Fire and Casualty Insurance Company","0.023486551","31","62","159","252","1319.904324","76","2022"
"19704","American States Insurance Company","0.024842256","5","13","40","58","201.269968","77","2022"
"37915","Essentia Insurance Company","0.026857524","1","0","2","3","37.2335135","78","2022"
"10052","Chubb National Insurance Company","0.028739905","2","1","2","5","69.5896515","79","2022"
"10212","Allmerica Financial Alliance Insurance Company","0.02896589","2","3","4","9","69.0467315","80","2022"
"38130","Travelers Personal Insurance Company","0.0304877","12","16","35","63","393.6013525","81","2022"
"16233","Erie Insurance Company of New York","0.030574532","2","2","9","13","65.4139195","82","2022"
"23035","Liberty Mutual Fire Insurance Company","0.033450115","4","7","19","30","119.581052","83","2022"
"29742","Integon National Insurance Company","0.03486667","2","9","15","26","57.361372","84","2022"
"11851","Progressive Advanced Insurance Company","0.035684661","18","64","98","180","504.418412","85","2022"
"24260","Progressive Casualty Insurance Company","0.038249383","21","45","85","151","549.0284705","86","2022"
"36447","LM General Insurance Company","0.039443949","29","63","170","262","735.2205075","87","2022"
"12130","New South Insurance Company","0.040754441","2","2","12","16","49.074406","88","2022"
"11908","Mercury Casualty Company","0.040784092","1","2","6","9","24.519364","89","2022"
"34339","Farmers Group Property and Casualty Insurance Company","0.041703982","4","5","16","25","95.9141015","90","2022"
"26093","Nationwide Affinity Insurance Company of America","0.045435375","3","3","13","19","66.027847","91","2022"
"11105","A. Central Insurance Company","0.049929854","3","6","14","23","60.0842935","92","2022"
"21687","Mid-Century Insurance Company","0.054622369","3","3","13","19","54.9225535","93","2022"
"26263","Erie Insurance Company","0.055399558","4","7","11","22","72.2027425","94","2022"
"25941","United Services Automobile Association","0.057542688","7","7","22","36","121.6488185","95","2022"
"13803","Farm Family Casualty Insurance Company","0.060653431","1","0","3","4","16.4871135","96","2022"
"10791","Palisades Insurance Company","0.062470224","2","4","13","19","32.0152525","97","2022"
"21253","Garrison Property and Casualty Insurance Company","0.065736675","6","5","18","29","91.2732505","98","2022"
"18600","USAA General Indemnity Company","0.065938097","7","6","21","34","106.1601765","99","2022"
"19232","Allstate Insurance Company","0.066996463","32","26","69","127","477.6371585","100","2022"
"27998","Travelers Home and Marine Insurance Company","0.069948617","6","5","5","16","85.7772505","101","2022"
"10839","Country-Wide Insurance Company","0.072307144","5","8","50","63","69.149461","102","2022"
"16578","Stillwater Property and Casualty Insurance Company","0.082119275","1","1","6","8","12.177409","103","2022"
"12873","Privilege Underwriters Reciprocal Exchange","0.083768326","3","0","0","3","35.813059","104","2022"
"25143","State Farm Fire and Casualty Company","0.085423345","12","14","28","54","140.476822","105","2022"
"23450","American Family Home Insurance Company","0.086248564","1","0","0","1","11.594396","106","2022"
"36145","Travelers Personal Security Insurance Company","0.087190733","4","2","1","7","45.876435","107","2022"
"30104","Hartford Underwriters Insurance Company","0.090919389","8","1","14","23","87.9900325","108","2022"
"25712","Esurance Insurance Company","0.093723967","7","6","52","65","74.6874065","109","2022"
"40703","Unitrin Safeguard Insurance Company","0.099847979","4","11","15","30","40.060901","110","2022"
"11215","SAFECO Insurance Company of Indiana","0.151835553","2","2","0","4","13.1721455","111","2022"
"20230","Central Mutual Insurance Company","0.15338182","1","0","0","1","6.5196775","112","2022"
"25674","Travelers Property Casualty Company of America","0.173788063","4","2","3","9","23.0165405","113","2022"
"29939","Main Street America Assurance Company","0.178429179","1","1","5","7","5.6044645","114","2022"
"23469","American Modern Home Insurance Company","0.189304862","1","0","1","2","5.2824845","115","2022"
